ev_date,avg_events_per_user
2024-01-01,2.6269
2024-01-02,3.4584
2024-01-03,3.5941
2024-01-04,3.4215
2024-01-05,3.7686
2024-01-06,5.1295
2024-01-07,5.3039
2024-01-08,3.2667
2024-01-09,3.1673
2024-01-10,3.3268
2024-01-11,3.0204
2024-01-12,3.3087
2024-01-13,5.1523
2024-01-14,4.7478
2024-01-15,3.7452
2024-01-16,3.6981
2024-01-17,3.6719
2024-01-18,3.2135
2024-01-19,3.6251
2024-01-20,5.1297
2024-01-21,5.5133
2024-01-22,4.1834
2024-01-23,3.1199
2024-01-24,3.7769
2024-01-25,3.5898
2024-01-26,3.6557
2024-01-27,5.4364
2024-01-28,4.613
2024-01-29,4.0909
2024-01-30,5.2235
2024-01-31,4.8394
2024-02-01,3.7631
2024-02-02,4.4334
2024-02-03,5.7434
2024-02-04,6.0872
2024-02-05,3.613
2024-02-06,4.0922
2024-02-07,4.9507
2024-02-08,3.8027
2024-02-09,4.1272
2024-02-10,6.2269
2024-02-11,5.9665
2024-02-12,4.0433
2024-02-13,3.3588
2024-02-14,3.6536
2024-02-15,3.8532
2024-02-16,4.2609
2024-02-17,6.4184
2024-02-18,5.6449
2024-02-19,3.9532
2024-02-20,3.7385
2024-02-21,3.9941
2024-02-22,4.3552
2024-02-23,4.8148
2024-02-24,5.5896
2024-02-25,5.4268
2024-02-26,4.1064
2024-02-27,3.7347
2024-02-28,4.1358
2024-02-29,3.9669
2024-03-01,4.5192
2024-03-02,6.0541
2024-03-03,5.8799
2024-03-04,4.1105
2024-03-05,4.0226
2024-03-06,3.6771
2024-03-07,4.6323
2024-03-08,4.3648
2024-03-09,6.1285
2024-03-10,6.0776
2024-03-11,4.2197
2024-03-12,3.8982
2024-03-13,4.1783
2024-03-14,4.6323
2024-03-15,4.5019
2024-03-16,5.427
2024-03-17,5.876
2024-03-18,3.5276
2024-03-19,3.0914
2024-03-20,3.6042
2024-03-21,4.7741
2024-03-22,4.0113
2024-03-23,4.1534
2024-03-24,3.4654
2024-03-25,3.676
2024-03-26,4.8629
2024-03-27,3.4044
2024-03-28,3.2824
2024-03-29,3.8958
2024-03-30,5.2714
2024-03-31,4.9234
2024-04-01,4.5688
2024-04-02,4.6271
2024-04-03,3.553
2024-04-04,3.5623
2024-04-05,3.7686
2024-04-06,6.2344
2024-04-07,5.1406
2024-04-08,3.7091
2024-04-09,2.9744
2024-04-10,3.1593
2024-04-11,4.3729
2024-04-12,3.98
2024-04-13,5.6807
2024-04-14,5.538
2024-04-15,3.661
2024-04-16,3.1164
2024-04-17,3.5088
2024-04-18,4.6921
2024-04-19,4.3764
2024-04-20,5.5591
2024-04-21,5.8452
2024-04-22,3.8034
2024-04-23,3.6405
2024-04-24,4.7595
2024-04-25,3.5023
2024-04-26,3.7497
2024-04-27,5.8569
2024-04-28,5.6631
2024-04-29,3.3757
2024-04-30,2.1931
2024-05-01,2.7718
2024-05-02,3.9681
2024-05-03,4.4643
2024-05-04,6.214
2024-05-05,5.263
2024-05-06,3.8917
2024-05-07,2.5784
2024-05-08,2.5608
2024-05-09,3.3322
2024-05-10,4.0437
2024-05-11,5.3292
2024-05-12,5.7911
2024-05-13,3.8133
2024-05-14,3.3914
2024-05-15,3.6262
2024-05-16,4.0162
2024-05-17,4.1075
2024-05-18,5.197
2024-05-19,6.8511
2024-05-20,4.1643
2024-05-21,3.7685
2024-05-22,2.7442
2024-05-23,3.2694
2024-05-24,3.5867
2024-05-25,4.247
2024-05-26,4.3073
2024-05-27,3.5036
2024-05-28,3.2681
2024-05-29,2.5854
2024-05-30,3.1411
