ev_date,method,series_type,value,actual_value,forecast_value,is_forecast,forecast_day,forecast_week,previous_week_actual,wow_change,wow_change_percent
2024-01-01,actual,actual,2.6269,2.6269,,0,0,0,,,
2024-01-02,actual,actual,3.4584,3.4584,,0,0,0,,,
2024-01-03,actual,actual,3.5941,3.5941,,0,0,0,,,
2024-01-04,actual,actual,3.4215,3.4215,,0,0,0,,,
2024-01-05,actual,actual,3.7686,3.7686,,0,0,0,,,
2024-01-06,actual,actual,5.1295,5.1295,,0,0,0,,,
2024-01-07,actual,actual,5.3039,5.3039,,0,0,0,,,
2024-01-08,actual,actual,3.2667,3.2667,,0,0,0,2.6269,0.6398000000000001,24.35570444249877
2024-01-09,actual,actual,3.1673,3.1673,,0,0,0,3.4584,-0.29110000000000014,-8.41718713856119
2024-01-10,actual,actual,3.3268,3.3268,,0,0,0,3.5941,-0.2673000000000001,-7.43718872596756
2024-01-11,actual,actual,3.0204,3.0204,,0,0,0,3.4215,-0.4011,-11.722928540113987
2024-01-12,actual,actual,3.3087,3.3087,,0,0,0,3.7686,-0.4599000000000002,-12.203470784906866
2024-01-13,actual,actual,5.1523,5.1523,,0,0,0,5.1295,0.022800000000000153,0.4444877668388762
2024-01-14,actual,actual,4.7478,4.7478,,0,0,0,5.3039,-0.5560999999999998,-10.484737645883216
2024-01-15,actual,actual,3.7452,3.7452,,0,0,0,3.2667,0.4784999999999999,14.647809716227384
2024-01-16,actual,actual,3.6981,3.6981,,0,0,0,3.1673,0.5308000000000002,16.75875351245541
2024-01-17,actual,actual,3.6719,3.6719,,0,0,0,3.3268,0.34509999999999996,10.373331730191174
2024-01-18,actual,actual,3.2135,3.2135,,0,0,0,3.0204,0.19309999999999983,6.393192954575547
2024-01-19,actual,actual,3.6251,3.6251,,0,0,0,3.3087,0.31640000000000024,9.562668117387501
2024-01-20,actual,actual,5.1297,5.1297,,0,0,0,5.1523,-0.02260000000000062,-0.4386390544029
2024-01-21,actual,actual,5.5133,5.5133,,0,0,0,4.7478,0.7655000000000003,16.123257087493162
2024-01-22,actual,actual,4.1834,4.1834,,0,0,0,3.7452,0.4381999999999997,11.700309729787453
2024-01-23,actual,actual,3.1199,3.1199,,0,0,0,3.6981,-0.5782000000000003,-15.63505583948515
2024-01-24,actual,actual,3.7769,3.7769,,0,0,0,3.6719,0.10499999999999998,2.8595549987744757
2024-01-25,actual,actual,3.5898,3.5898,,0,0,0,3.2135,0.3763000000000001,11.709973549089781
2024-01-26,actual,actual,3.6557,3.6557,,0,0,0,3.6251,0.03059999999999974,0.8441146451132311
2024-01-27,actual,actual,5.4364,5.4364,,0,0,0,5.1297,0.3067000000000002,5.978907148566197
2024-01-28,actual,actual,4.613,4.613,,0,0,0,5.5133,-0.9002999999999997,-16.329602960114624
2024-01-29,actual,actual,4.0909,4.0909,,0,0,0,4.1834,-0.09249999999999936,-2.211120141511674
2024-01-30,actual,actual,5.2235,5.2235,,0,0,0,3.1199,2.1035999999999997,67.42523798839706
2024-01-31,actual,actual,4.8394,4.8394,,0,0,0,3.7769,1.0625000000000004,28.131536445232875
2024-02-01,actual,actual,3.7631,3.7631,,0,0,0,3.5898,0.17330000000000023,4.827566995375793
2024-02-02,actual,actual,4.4334,4.4334,,0,0,0,3.6557,0.7776999999999998,21.27362748584402
2024-02-03,actual,actual,5.7434,5.7434,,0,0,0,5.4364,0.3070000000000004,5.64711941726143
2024-02-04,actual,actual,6.0872,6.0872,,0,0,0,4.613,1.4741999999999997,31.95751138088011
2024-02-05,actual,actual,3.613,3.613,,0,0,0,4.0909,-0.47790000000000044,-11.682025960057699
2024-02-06,actual,actual,4.0922,4.0922,,0,0,0,5.2235,-1.1312999999999995,-21.65789221786158
2024-02-07,actual,actual,4.9507,4.9507,,0,0,0,4.8394,0.11129999999999995,2.2998718849444133
2024-02-08,actual,actual,3.8027,3.8027,,0,0,0,3.7631,0.03960000000000008,1.0523238819058776
2024-02-09,actual,actual,4.1272,4.1272,,0,0,0,4.4334,-0.3061999999999996,-6.906663057698371
2024-02-10,actual,actual,6.2269,6.2269,,0,0,0,5.7434,0.4834999999999994,8.418358463627804
